Alfred Wegener Institute, Germany
Contact: Sandra.Tippenhauer@awi.de
Instrument: SBE911plus
Ship: Polarstern
Cruise: PS122
Leg 4
Accuracy for salinity and conductivity = 0.004
Accuracy for temperature = 0.002
Quality control flagging scheme: https://www.seadatanet.org
Event Label	Date/Time	Lat	Lon	Sensor channel used temp/cond	Sensor channel used oxy	Altimeter [m]	Water depth [m]	Water depth Info
PS122/4_45-96	2020-07-04T05:25:39	81.7120	6.9553	 1	 2	11.03	750.73	Waterdepth = CTD-Z + ALTI
PS122/4_45-97	2020-07-04T07:48:29	81.7073	6.8875	 1	 2	12.17	718.35	Waterdepth = CTD-Z + ALTI
PS122/4_45-98	2020-07-04T08:29:41	81.7063	6.8582	 1	 2	10.57	733.51	Waterdepth = CTD-Z + ALTI
PS122/4_45-99	2020-07-04T09:07:45	81.7057	6.8285	 1	 2	10.01	713.24	Waterdepth = CTD-Z + ALTI
PS122/4_45-100	2020-07-04T09:47:34	81.7055	6.7960	 1	 2	15.85	708.22	Waterdepth = CTD-Z + ALTI
PS122/4_45-101	2020-07-04T12:09:09	81.7088	6.7003	 1	 2	9.17	710.42	Waterdepth = CTD-Z + ALTI
PS122/4_45-106	2020-07-04T12:45:43	81.7103	6.6870	 1	 2	10.92	715.13	Waterdepth = CTD-Z + ALTI
PS122/4_45-121	2020-07-05T10:58:50	81.7022	6.2965	 1	 2	29.15	872.34	Waterdepth = CTD-Z + ALTI
PS122/4_46-2	2020-07-06T06:37:08	81.7035	5.6468	 1	 2	15.64	779.00	Waterdepth = CTD-Z + ALTI
PS122/4_46-15	2020-07-07T08:58:21	81.6582	4.6893	 1	 2	17.42	764.02	Waterdepth = CTD-Z + ALTI
PS122/4_46-35	2020-07-08T06:35:30	81.6225	3.5135	 1	 2	26.89	807.01	Waterdepth = CTD-Z + ALTI
PS122/4_46-56	2020-07-09T06:31:21	81.5598	2.6057	 1	 2	NaN	956.00	Waterdepth from GEBCO
PS122/4_46-60	2020-07-09T08:02:34	81.5573	2.6057	 1	 2	32.79	1172.35	Waterdepth = CTD-Z + ALTI
PS122/4_46-83	2020-07-10T13:16:12	81.5008	2.3397	 1	 2	29.22	1144.18	Waterdepth = CTD-Z + ALTI
PS122/4_46-87	2020-07-10T20:33:45	81.4805	2.1080	 1	 2	29.74	1200.79	Waterdepth = CTD-Z + ALTI
PS122/4_46-91	2020-07-11T06:46:14	81.4612	1.7620	 1	 2	23.37	1240.65	Waterdepth = CTD-Z + ALTI
PS122/4_47-108	2020-07-19T07:20:41	80.9173	0.0203	 1	 2	NaN	2861.00	Waterdepth from GEBCO
PS122/4_47-52	2020-07-16T07:38:01	81.2423	0.3110	 1	 2	NaN	2352.00	Waterdepth from GEBCO
PS122/4_47-60	2020-07-16T09:38:06	81.2343	0.3053	 2	 2	15.24	2535.66	Waterdepth = CTD-Z + ALTI
PS122/4_48-121	2020-07-25T06:36:17	79.9993	0.6405	 1	 2	NaN	2790.00	Waterdepth from GEBCO
PS122/4_48-15	2020-07-21T06:28:03	80.6427	0.5280	 1	 2	NaN	3107.00	Waterdepth from GEBCO
PS122/4_48-155	2020-07-26T07:39:31	79.8300	-1.6683	 1	 2	13.79	2738.53	Waterdepth = CTD-Z + ALTI
PS122/4_48-159	2020-07-26T14:03:12	79.7712	-1.8558	 1	 2	NaN	2650.00	Waterdepth from GEBCO
PS122/4_48-29	2020-07-21T10:32:16	80.6150	0.5480	 1	 2	29.03	2874.78	Waterdepth = CTD-Z + ALTI
PS122/4_48-56	2020-07-22T13:20:32	80.4722	0.5700	 1	 2	NaN	2849.00	Waterdepth from GEBCO
PS122/4_48-60	2020-07-23T06:58:40	80.3873	0.5507	 1	 2	NaN	2643.00	Waterdepth from GEBCO
PS122/4_48-62	2020-07-23T08:54:17	80.3738	0.5537	 1	 2	18.52	2380.58	Waterdepth = CTD-Z + ALTI
PS122/4_48-96	2020-07-24T06:35:03	80.2525	0.6398	 1	 2	NaN	2846.00	Waterdepth from GEBCO
PS122/4_49-2	2020-07-27T06:37:47	79.6427	-2.2425	 1	 2	NaN	2508.00	Waterdepth from GEBCO
PS122/4_49-5	2020-07-27T09:37:12	79.6193	-2.2525	 1	 2	NaN	2496.00	Waterdepth from GEBCO
PS122/4_49-10	2020-07-27T14:17:00	79.5588	-2.3935	 1	 2	NaN	2419.00	Waterdepth from GEBCO
PS122/4_49-14	2020-07-28T06:44:09	79.4072	-2.7392	 1	 2	NaN	2220.00	Waterdepth from GEBCO
PS122/4_49-25	2020-07-29T06:33:14	79.2055	-2.6590	 1	 2	14.66	2404.20	Waterdepth = CTD-Z + ALTI
PS122/4_49-36	2020-07-30T06:32:55	79.1162	-2.5390	 1	 2	NaN	2481.00	Waterdepth from GEBCO
PS122/4_50-21	2020-08-05T11:08:32	78.5872	-1.6120	 1	 2	13.69	2744.41	Waterdepth = CTD-Z + ALTI
PS122/4_50-52	2020-08-08T11:22:31	79.8932	-3.7708	 1	 2	13.49	2152.42	Waterdepth = CTD-Z + ALTI
